b_Regneville,Regnéville
b_aabenraa,Opnør
b_aachen,Aachen
b_aahus,Aos
b_aalborg,Aleburgh
b_aalst,Aalst
b_aanestad,Oprustaðir
b_aardenburg,Aardenburg
b_aarhus,Arus
b_aarschot,Aarschot
b_aarstad,Álreksstaðir
b_aas,As
b_aasmul,Aasmul
b_aatloeyna,Atley
b_aba,Ába
b_aba-qom,Ábe-Qom
b_abada,Ábáde
b_abalak,Abalak
b_abarquh,Abarqúh
b_abasan,Abasan
b_abaskun,Abaskun
b_abaujszanto,Abaújvár
b_abbadan,Abbadan
b_abbasa,'Abbása
b_abbayeauxdames,Abbaye-aux-Dames
b_abbayeauxhommes,Abbaye-aux-Hommes
b_abbayedelonlay,Abbaye de Lonlay
b_abbayedeysses,Abbaye d'Eysses
b_abberffraw,Abberffraw
b_abbeville,Abbeville
b_abbeycwmhir,Abbeycwmhir
b_abbeydeachin,Saint-Sauveur d'Anchin
b_abda,Abda
b_abeche,Abeche
b_abenberg,Abenberg
b_abensberg,Abensberg
b_aberaeron,Aberaeron
b_aberconwy,Aberconwy
b_abercorn,Abercorn
b_aberdaron,Aberdaron
b_aberedw,Aberedw
b_aberhonddu,Aberhonddu
b_aberlleiniog,Aberlleiniog
b_abermagwr,Abermagwr
b_aberteifi,Aberteifi
b_aberystwyth,Aberystwyth
b_abhar,Abhar
b_abingdon,Abingdon
b_abivard,Abívard
b_ablastha,Ablastha
b_abrantes,Abrantes
b_abuhammad,Abu Hammad
b_abukir,Abukir
b_abusir,Abú Sír
b_abusnan,Tusyan
b_abydos,Abydos
b_accera,Accera
b_accia,Accia
b_acerenza,Acerenza
b_acey,Acey
b_achalm,Achalm
b_achim,Achim
b_achir,Ashír
b_acqui,Acqui
b_acquviva,Acquviva
b_acre,Acre
b_acrokorinthos,Akrokorinthos
b_adafa,Adafa
b_adamuz,Adamuz
b_adana,Adana
b_adazi,Neuermühlen
b_adeje,Adeje
b_adel,Adel
b_adelon,Adelon
b_aderno,Aderno
b_adfert,Adfert
b_adjud,Adjud
b_admont,Admont
b_adony,Adony
b_adra,Adra
b_adramyttion,Adramýttion
b_adria_ferrara,Adria
b_adrianeia,Adrianeia
b_adrianoi,Adrianoi
b_adrianopolis,Adrianople
b_aegina,Aigina
b_aetos,Aetos
b_aetos_bulgaria,Aytos
b_afera,Afera
b_affligem,Affligem
b_aflu,Aflu
b_afrag,Áfrág
b_afridhan,Afrídhán
b_agades,Agadés
b_agadez,Agadez
b_agadir,Agadir
b_agadir_tlemcen,Agádír
b_agaldar,Agaldar
b_agarak,Agarak
b_agathopolis,Agathoúpolis
b_agde,Agde
b_agdenes,Agðarnes
b_ager,Àger
b_aggersborg,Akærsburgh
b_aghfur,Al-Aghfur
b_aghmat,Ághmát
b_aghuen,Aghuen
b_agimont,Agimont
b_agiosgeorgios,Hagios Georgios
b_agiosnikolaos,Hagiós Nikolaos
b_aglo,Aaglo
b_agosta,Agosta
b_agoult,Agoult
b_agowo,Agowo
b_agsu,Agsu
b_aguiar_da_beira,Aguiar da Beira
b_aguilardecampoo,Aguilar de Campoo
b_aguimes,Agüimes
b_ahangaran,Áhangarán
b_ahaus,Ahaus
b_ahlden,Ahlden
b_ahlen,Ahlen
b_ahnas,Ahnás
b_ahrensbok,Ahrensbök
b_ahuvan,Áhúván
b_ahwar,Ahwar
b_ahwaz,Ahwáz
b_aiberdeen,Aiberdeen
b_aidone,Aidone
b_aigle,Aigle
b_aiguesmortes,Aigas Mòrtas
b_aileach_bod,Aileach
b_ain_shams,Ain Shams
b_ainaltamur,Ain-al-Tamr
b_ainbenimathar,Ain Beni Mathar
b_ainfarah,Ain Farah
b_aingalakka,Ain Galakka
b_ainos,Ainos
b_ainsa,Aínsa
b_aintemouchent,Ain Temouchent
b_aintorki,Ain Torki
b_ainzia,Ain Zia
b_aitona,Aitona
b_aix,Aix
b_aizkraukle,Ascheraden
b_aizpute,Hasenpoth
b_ajaccio,Ajaccio
b_ajdabiya,Ajadabíya
b_ajello,Ajello
b_ajim,Ajim
b_ajlu_al_gharbiyya,Ajlú al-Gharbiyya
b_akasha,Akasha
b_akbeshim,Ak-Beshim
b_akcakale,Akçakale
b_akershus,Akershus
b_akhalkalaki,Akhalkalaki
b_akhaltsikhe,Akhaltsikhe
b_akhieli,Akhieli
b_akhiza,Akhiza
b_akhlat,Khlat
b_akhor,Ákhor
b_akhor_dishistan,Akhor
b_akhsikak,Akhsíkak
b_akhsiket,Akhsíket
b_akhtala,Akhtala
b_akhtuba,Akhtuba
b_akhyraous,Akhyraous
b_akjoujt,Akjoujt
b_akordat,Akordat
b_akova,Akova
b_akqi,Akqi
b_akroinon,Akroinon
b_akropolis_athen,Akropolis
b_aksi,Ekes
b_aksuat,Aksuat
b_akuda,Akúda
b_akumbu,Akumbu
b_akzhar,Akzhar
b_al_ateuf,al-'Atf
b_al_hajr,Al-Hajr
b_al_majmaah,Al-Majma'ah
b_ala_qamaq,Ala-Qamaq
b_alabbasiyaifr,Al-'Abbásíya
b_alabuga,Alabuga
b_alacuas,Alacuás
b_alaghaila,Al-Aghaila
b_alagon,Alagón
b_alahina,Alahina
b_alaior,Alaior
b_alallman,Alallman
b_alamut,Alamút
b_alando,Alando
b_alarcon,Alarcón
b_alatri,Alatri
b_alatyr,Alatarem
b_alaverdi,Alaverdi
b_alawnid,Al-Awnid
b_alazhar,al-Azhar
b_alba,Alba
b_albacete,Albacete
b_albadealiste,Alba de Aliste
b_albadetormes,Alba de Tormes
b_albalaromaine,Alba-La-Romaine
b_albano,Albano
b_albarasyria,Albara
b_albarracin,Albarracín
b_albasra,Al-Basra
b_albatera,Albatera
b_albe,Albe
b_albenga,Albennga
b_alberbury,Alberbury
b_alberique,Alberique
b_albi_castle,Albi
b_albi_temple,Albi
b_albioccitiania,Albi
b_albiyerdy,Albiyerdy
b_albon,Albon
b_alburquerque,Alburquerque
b_alcacerdosal,Alcácer do Sal
b_alcacovas,Alcáçovas
b_alcala,Alcalá
b_alcaladeguadaira,Alcalá de Guadaira
b_alcaladeljucar,Alcalá del Júcar
b_alcaladelosgazules,Alcalá de los Gazules
b_alcalaten,Alcalatén
b_alcantara,Alcántara
b_alcantarilla,Alcantarilla
b_alcanyiz,Alcañiz
b_alcaraz,Alcaraz
b_alcaudete,Alcaudete
b_alcazardesanjuan,Alcázar de San Juan
b_alchi,Alchi
b_alcobaca,Alcobaça
b_alcolea,Alcolea
b_alcoutim,Alcoutim
b_alcudia,Alcudia
b_aldersbach,Aldersbach
b_aldford,Aldford
b_aldreth,Aldreth
b_aldumay,Dumayr
b_aldur,Al-Dur
b_aleksandrov,Alexandrovskaya
b_aleksin,Aleksin
b_alenquer,Alenquer
b_aleppo,Halab
b_aleppocastle,Qal'at al-Halab
b_aleria,Aleria
b_ales,Alès
b_alessandria,Alessandria
b_alexandretta,Alexandrou
b_alexandria,Alexandria
b_alexandriatroas,Alexándreia Trõás
b_alfaro,Alfaro
b_alfarut,Al-Farut
b_alfeld,Alfeld
b_alftanes,Álftanes
b_algaida,Algaida
b_algasba,Al-Gasba
b_algeciras,Algeciras
b_alghero,Alghero
b_algiers,Al-Jazáir
b_alhabis,Al-Habis
b_alhadat,Al-Hadat
b_alhamadearagon,Alhama de Aragón
b_alhamma,Al-Hamma
b_alhamma_qashtiliya,al-Hamma
b_alharuniya,Eirenoupolis
b_alhasun,Al-Hasún
b_alhawra,Al-Hawra
b_alhirah,Al-Híra
b_alhoceima,Al-Mazimma
b_alhum,Ahlum
b_alia,Alía
b_alicante,Alicante
b_alife,Alife
b_aliraqi,Al-Iráqí
b_aljar,Al-Jar
b_aljaraque,Aljaraque
b_aljezur,Aljezur
b_aljustrel,Aljustrel
b_alkabli,Al-Kabli
b_alkahf,Al-Kahf
b_alkalamun,Al-Kalamún
b_alkasr,Al-Qasr
b_alkhawabi,Al-Khawabi
b_alki,Alki
b_alkiswah,Al-Kiswa
b_alkmaar,Alkmaar
b_allariz,Allariz
b_allinges,Allinges
b_almada,Almada
b_almadar,Al-Madar
b_almagro,Almagro
b_almaliq,Almaliq
b_almansa,Almansa
b_almarestaket,Älmarestaket
b_almazan,Almazán
b_almeida,Almeida
b_almelo,Almelo
b_almendralejo,Almendralejo
b_almeria,Almería
b_almodovar,Almodóvar
b_almondbury,Almondbury
b_almonte,Almonte
b_almudevar,Almudévar
b_almunyecar,Almuñécar
b_alnabk,Al-Nabk
b_alnif,Al-Níf
b_alnwick,Alnwick
b_alpuente,Alpuente
b_alqababt,Al-Qababt
b_alqadamus,Al-Qadamus
b_alqadisiyyah,Al-Qádisiyya
b_alqalah,Al-Qala
b_alqardabah,Al-Qardaba
b_alqays,Al-Qays
b_alquezar,Alquézar
b_alsafira,Asfirah
b_alsamoa,Samoe
b_alsaqya,Al-Saqya
b_alsenai,Alšénai
b_alsfeld,Alsfeld
b_alshirak,al-Shirák
b_alsokubin,Alsókubin
b_alstadhaug,Aalvishaugr
b_alstoe,Alstoe
b_alsukhnah,Al-Sukhna
b_alsunga,Alschwangen
b_alsywaydaturkey,Al-Suwayda
b_altafronte,Altafronte
b_altavilla_irpina,Altavilla
b_altdorf,Altdorf
b_altekaina,Altekaina
b_altena,Altena
